顧客ID,生年月日,性別,年齢,年齢層
C00015613,1998-09-16,男,27,20代
C00001624,1991-12-24,女,33,30代
C00017479,1986-11-11,女,38,30代
C00013860,1977-05-31,女,48,40代
C00016491,2003-05-05,男,22,20代
C00001440,2003-12-20,男,21,20代
C00000508,1992-04-16,男,33,30代
C00015616,1999-02-11,男,26,20代
C00002306,1993-10-21,女,31,30代
C00000262,1986-03-07,男,39,30代
C00018776,1983-01-23,女,42,40代
C00017428,1997-09-19,男,27,20代
C00017706,1985-01-26,男,40,40代
C00007204,1993-06-21,その他・不明,32,30代
C00017154,1980-05-19,男,45,40代
C00010531,1987-10-22,女,37,30代
C00000663,1989-09-21,女,35,30代
C00015079,1972-03-15,男,53,50代
C00010169,1985-02-21,女,40,40代
C00008005,1988-12-19,男,36,30代
C00018610,1990-04-13,女,35,30代
C00011778,1987-11-09,女,37,30代
C00018652,1983-05-10,男,42,40代
C00005268,1991-05-02,女,34,30代
C00005092,2009-06-10,女,16,10代未満
C00005853,1990-09-16,女,35,30代
C00007384,1969-06-13,男,56,50代
C00017539,1985-11-14,男,39,30代
C00002684,1985-12-24,男,39,30代
C00001012,1992-09-19,女,32,30代
C00006640,1984-07-15,女,41,40代
C00015244,1978-07-05,男,47,40代
C00011964,2007-09-02,女,18,10代未満
C00018041,2007-04-28,男,18,10代未満
C00013403,1968-04-27,女,57,50代
C00013053,1953-05-16,女,72,60代以上
C00001165,1988-01-10,女,37,30代
C00017493,1988-09-15,女,37,30代
C00001940,1983-06-08,男,42,40代
C00018268,1977-12-15,その他・不明,47,40代
C00010981,1983-10-30,女,41,40代
C00010289,1980-03-31,男,45,40代
C00004284,2008-12-19,女,16,10代未満
C00010238,2001-05-24,その他・不明,24,20代
C00006545,1979-04-03,男,46,40代
C00018467,1980-02-07,女,45,40代
C00013764,2004-01-18,女,21,20代
C00017184,1955-12-30,女,69,60代以上
C00016282,2001-04-24,男,24,20代
C00014050,1998-10-07,男,26,20代
C00011472,1980-08-15,女,45,40代
C00011869,1996-06-05,女,29,20代
C00014489,1987-10-11,男,37,30代
C00009237,2000-08-28,女,25,20代
C00009163,1998-07-01,女,27,20代
C00003610,1998-11-16,男,26,20代
C00008668,1996-01-02,女,29,20代
C00014119,1982-05-14,女,43,40代
C00002615,1994-04-27,女,31,30代
C00009672,2010-03-03,女,15,10代未満
C00017603,1958-01-18,男,67,60代以上
C00013630,1976-01-05,男,49,40代
C00007510,1991-06-30,女,34,30代
C00006318,2000-04-19,男,25,20代
C00009795,1994-10-17,女,30,30代
C00001983,1994-06-13,その他・不明,31,30代
C00017844,1986-02-17,その他・不明,39,30代
C00011716,1988-03-26,女,37,30代
C00016259,1975-04-20,男,50,50代
C00001948,1965-05-29,女,60,60代以上
C00004668,1998-11-30,男,26,20代
C00014985,1987-08-08,女,38,30代
C00007252,1991-01-09,男,34,30代
C00016294,1990-02-04,男,35,30代
C00003099,2011-04-09,女,14,10代未満
C00005818,1991-06-07,女,34,30代
C00012483,1995-09-12,女,30,30代
C00016608,1977-08-21,男,48,40代
C00013171,1986-03-27,女,39,30代
C00006019,1989-11-11,女,35,30代
C00007863,1986-04-11,女,39,30代
C00012406,2001-08-18,男,24,20代
C00002946,1987-04-04,女,38,30代
C00016061,1975-10-12,女,49,40代
C00016146,1984-05-13,女,41,40代
C00009087,1983-04-06,女,42,40代
C00015947,1982-11-19,男,42,40代
C00006821,2008-04-19,男,17,10代未満
C00009069,1983-07-09,女,42,40代
C00010114,2001-11-08,女,23,20代
C00016742,1995-01-06,女,30,30代
C00016898,1997-08-24,女,28,20代
C00017771,2006-09-03,女,19,10代未満
C00011191,1989-05-08,男,36,30代
C00005186,1997-10-22,女,27,20代
C00004969,1997-08-18,女,28,20代
C00015645,1976-11-22,男,48,40代
C00000203,1995-03-19,女,30,30代
C00006151,1997-06-18,女,28,20代
C00008961,2006-06-04,女,19,10代未満
C00011591,2002-07-27,男,23,20代
C00008380,2008-07-12,男,17,10代未満
C00013748,1992-01-13,男,33,30代
C00004629,1988-06-01,女,37,30代
C00005724,1995-03-11,女,30,30代
C00000510,1987-08-26,女,38,30代
C00017749,2000-05-23,女,25,20代
C00012678,2005-10-08,女,19,10代未満
C00004580,1976-02-06,男,49,40代
C00015698,1981-10-14,女,43,40代
C00013134,1991-04-03,女,34,30代
C00007098,1990-01-30,男,35,30代
C00012290,1987-09-26,女,37,30代
C00014883,2010-11-23,女,14,10代未満
C00006878,1998-09-20,女,26,20代
C00008821,1988-12-10,男,36,30代
C00012430,1977-11-13,男,47,40代
C00006092,1996-09-18,男,29,20代
C00017297,1979-04-16,男,46,40代
C00007417,2001-04-15,女,24,20代
C00013962,1992-07-27,その他・不明,33,30代
C00007453,1949-03-05,女,76,60代以上
C00008884,1964-12-05,女,60,60代以上
C00010974,1986-08-30,女,39,30代
C00010528,2002-08-10,女,23,20代
C00018362,2006-06-16,男,19,10代未満
C00013936,1979-08-23,その他・不明,46,40代
C00007996,1984-01-06,女,41,40代
C00012476,2001-10-29,男,23,20代
C00014762,1989-12-10,男,35,30代
C00012193,1979-10-20,女,45,40代
C00016781,1987-02-21,女,38,30代
C00004872,2003-08-05,男,22,20代
C00017547,1982-06-11,男,43,40代
C00017290,1970-07-13,女,55,50代
C00018854,1992-04-29,女,33,30代
C00011221,1995-08-02,その他・不明,30,30代
C00005090,1993-08-31,女,32,30代
C00017948,1983-11-20,女,41,40代
C00006242,1986-02-17,男,39,30代
C00007737,1978-10-05,女,46,40代
C00008784,1994-02-28,女,31,30代
C00010175,1988-12-26,女,36,30代
C00001230,1983-04-08,女,42,40代
C00012453,1991-04-18,女,34,30代
C00010759,1991-06-23,男,34,30代
C00014558,1988-06-03,女,37,30代
C00017499,2009-10-04,女,15,10代未満
C00005124,1984-01-30,男,41,40代
C00017585,1999-06-08,女,26,20代
C00007052,1997-06-22,女,28,20代
C00003442,1994-09-10,男,31,30代
C00011687,2006-02-06,男,19,10代未満
C00013591,1986-07-27,女,39,30代
C00012193,1979-10-20,女,45,40代
C00015171,1990-07-08,女,35,30代
C00012165,1985-07-02,女,40,40代
C00006937,1949-10-30,女,75,60代以上
C00008659,2005-09-19,女,19,10代未満
C00018608,1986-03-14,女,39,30代
C00012105,1984-06-10,女,41,40代
C00004063,1973-04-02,男,52,50代
C00000366,1999-07-30,その他・不明,26,20代
C00006712,2000-04-08,男,25,20代
C00007873,1983-11-05,女,41,40代
C00005909,2003-04-27,女,22,20代
C00002183,1987-08-07,その他・不明,38,30代
C00001831,1998-11-25,女,26,20代
C00010393,1987-05-31,女,38,30代
C00016653,2003-06-25,男,22,20代
C00012707,1989-11-28,女,35,30代
C00013660,2004-06-10,男,21,20代
C00000562,1994-05-06,女,31,30代
C00013136,1952-04-03,男,73,60代以上
C00017854,1964-05-29,男,61,60代以上
C00011754,1988-02-28,女,37,30代
C00010897,1993-03-20,男,32,30代
C00008676,1993-08-31,男,32,30代
C00016073,1985-02-27,女,40,40代
C00009312,1977-09-25,男,47,40代
C00013520,1992-05-27,男,33,30代
C00004726,2006-10-03,男,18,10代未満
C00014919,1987-08-17,男,38,30代
C00006666,2004-04-19,女,21,20代
C00006278,1990-11-11,女,34,30代
C00004232,1985-12-19,女,39,30代
C00002658,1972-02-28,女,53,50代
C00009696,1984-04-05,女,41,40代
C00010288,1952-10-22,男,72,60代以上
C00009049,1991-06-21,男,34,30代
C00006698,1981-05-27,女,44,40代
C00008789,1968-08-11,女,57,50代
C00017213,1996-01-02,女,29,20代
C00009769,1955-04-03,女,70,60代以上
C00001161,1993-04-06,男,32,30代
C00009793,1985-03-08,女,40,40代
C00017403,1983-06-24,女,42,40代
C00011022,1975-04-11,女,50,50代
C00003030,1986-09-23,女,38,30代
C00016294,1990-02-04,男,35,30代
C00018614,1990-07-17,男,35,30代
C00010743,1975-05-20,女,50,50代
C00001813,1967-07-30,女,58,50代
C00004710,1973-09-25,女,51,50代
C00009519,1978-03-24,女,47,40代
C00008102,1981-03-20,女,44,40代
C00001231,1977-06-20,女,48,40代
C00000661,1981-12-08,女,43,40代
C00005097,1977-12-10,女,47,40代
C00001751,1992-08-27,男,33,30代
C00007043,1996-11-26,男,28,20代
C00001985,1949-07-31,女,76,60代以上
C00015837,1992-09-30,男,32,30代
C00007674,1981-09-20,女,43,40代
C00007563,1984-03-07,女,41,40代
C00017681,1995-05-24,女,30,30代
C00005681,1990-10-23,女,34,30代
C00001159,1997-03-12,女,28,20代
C00004079,2009-01-24,男,16,10代未満
C00004700,2002-01-18,女,23,20代
C00006857,1999-07-12,女,26,20代
C00012361,1985-06-15,男,40,40代
C00003267,1993-12-20,男,31,30代
C00008190,1976-01-20,女,49,40代
C00017022,1997-09-03,男,28,20代
C00015976,1961-11-29,女,63,60代以上
C00015683,1982-10-24,その他・不明,42,40代
C00014725,1965-01-18,女,60,60代以上
C00008882,1984-06-16,女,41,40代
C00008898,2004-11-24,女,20,20代
C00013770,1991-03-20,女,34,30代
C00010260,1980-11-12,女,44,40代
C00013716,1985-01-18,男,40,40代
C00011751,1985-04-18,女,40,40代
C00008306,1985-06-05,男,40,40代
C00011296,1992-05-05,女,33,30代
C00005816,1993-07-31,女,32,30代
C00013963,1980-04-18,女,45,40代
C00014278,1984-07-21,女,41,40代
C00000748,1978-04-25,女,47,40代
C00015462,1980-12-14,女,44,40代
C00013835,1998-05-27,男,27,20代
C00005018,1944-10-27,その他・不明,80,60代以上
C00014104,1995-10-12,女,29,20代
C00004477,1991-08-17,女,34,30代
C00009427,2008-02-27,女,17,10代未満
C00013850,1947-07-28,男,78,60代以上
C00005689,1981-05-21,男,44,40代
C00008878,2007-07-19,女,18,10代未満
C00011899,1994-06-19,男,31,30代
C00008202,1988-09-18,女,37,30代
C00018979,1983-11-21,男,41,40代
C00008375,1993-01-10,男,32,30代
C00008223,1983-08-04,男,42,40代
C00008119,1978-05-20,女,47,40代
C00015845,1984-11-09,男,40,40代
C00011088,1979-05-25,男,46,40代
C00018614,1990-07-17,男,35,30代
C00013825,1979-09-08,男,46,40代
C00011456,2007-06-20,女,18,10代未満
C00015623,2005-11-14,女,19,10代未満
C00014356,2005-06-12,女,20,20代
C00007254,2001-04-23,男,24,20代
C00011341,1999-12-16,女,25,20代
C00015413,1991-04-15,女,34,30代
C00016971,1981-07-23,女,44,40代
C00012406,2001-08-18,男,24,20代
C00000448,1980-04-07,男,45,40代
C00003189,2006-03-20,女,19,10代未満
C00014527,1992-07-31,女,33,30代
C00015486,1999-10-13,女,25,20代
C00017387,1977-12-06,女,47,40代
C00013594,1984-10-20,女,40,40代
C00014781,1943-03-17,女,82,60代以上
C00006918,1976-08-23,女,49,40代
C00013270,1977-07-18,女,48,40代
C00005191,1948-08-18,女,77,60代以上
C00010481,1984-07-03,女,41,40代
C00017805,1976-08-25,女,49,40代
C00016964,1992-07-30,女,33,30代
C00013802,2000-08-13,女,25,20代
C00001883,1998-01-29,女,27,20代
C00013746,1966-09-11,男,59,50代
C00004859,1990-11-20,女,34,30代
C00007204,1993-06-21,その他・不明,32,30代
C00005129,1990-01-17,男,35,30代
C00007192,1980-07-29,女,45,40代
C00004956,1981-02-08,女,44,40代
C00011838,1984-01-16,男,41,40代
C00014725,1965-01-18,女,60,60代以上
C00003705,1986-06-12,女,39,30代
C00013572,1977-01-15,女,48,40代
C00014117,1983-07-22,女,42,40代
C00005107,1997-06-12,その他・不明,28,20代
C00003424,1987-04-28,男,38,30代
C00012343,1998-06-06,男,27,20代
C00008945,1995-04-15,女,30,30代
C00006377,1975-03-04,女,50,50代
C00011186,1993-10-03,女,31,30代
C00010671,1996-07-01,女,29,20代
C00010855,2002-01-10,男,23,20代
C00017900,1990-11-20,女,34,30代
C00015901,2008-06-07,女,17,10代未満
C00002160,1981-02-03,女,44,40代
C00012496,1975-09-27,男,49,40代
C00005500,1977-10-09,男,47,40代
C00007286,2010-02-16,その他・不明,15,10代未満
C00008912,1995-10-22,男,29,20代
C00013751,1994-03-31,女,31,30代
C00006862,2011-05-06,男,14,10代未満
C00013838,1984-03-31,女,41,40代
C00009151,2004-10-01,男,20,20代
C00012576,1992-10-26,女,32,30代
C00012625,1969-02-03,男,56,50代
C00008911,2006-11-28,女,18,10代未満
C00009544,1980-04-26,女,45,40代
C00000823,1985-03-18,男,40,40代
C00017399,1982-06-21,男,43,40代
C00012654,1992-02-17,男,33,30代
C00016898,1997-08-24,女,28,20代
C00015233,1984-05-10,女,41,40代
C00000329,1983-11-14,女,41,40代
C00013892,1998-07-20,女,27,20代
C00007401,1991-03-01,男,34,30代
C00000796,1990-11-13,男,34,30代
C00009413,1982-04-12,男,43,40代
C00011392,1991-02-03,男,34,30代
C00018191,1992-05-06,女,33,30代
C00000989,2002-01-31,女,23,20代
C00004647,1991-05-08,女,34,30代
C00009940,1998-10-29,男,26,20代
C00008018,1994-01-07,女,31,30代
C00005490,1992-08-26,男,33,30代
C00016895,1996-05-21,その他・不明,29,20代
C00006502,1992-11-12,女,32,30代
C00018310,1993-06-04,男,32,30代
C00003331,1985-06-20,女,40,40代
C00017184,1955-12-30,女,69,60代以上
C00012647,2005-05-12,その他・不明,20,20代
C00013740,1991-09-13,女,34,30代
C00013513,1997-01-28,男,28,20代
C00002009,1995-08-16,女,30,30代
C00000039,1994-01-02,男,31,30代
C00018546,1981-01-21,女,44,40代
C00012444,1973-10-03,その他・不明,51,50代
C00017569,1986-04-30,女,39,30代
C00009720,1983-12-25,女,41,40代
C00010697,2000-05-10,男,25,20代
C00013174,1981-11-09,女,43,40代
C00018573,2002-01-19,女,23,20代
C00006546,1994-09-28,女,30,30代
C00007614,1957-11-19,女,67,60代以上
C00001728,1998-07-07,男,27,20代
C00006908,2007-08-16,男,18,10代未満
C00007840,1976-02-26,女,49,40代
C00014349,1977-12-25,女,47,40代
C00008375,1993-01-10,男,32,30代
C00014693,1975-08-11,男,50,50代
C00002600,1985-05-11,女,40,40代
C00008228,2006-12-18,女,18,10代未満
C00010087,1993-10-24,男,31,30代
C00018173,2000-03-27,女,25,20代
C00003964,1998-12-08,女,26,20代
C00005732,1959-12-28,その他・不明,65,60代以上
C00010425,1986-10-03,女,38,30代
C00018382,1988-09-15,男,37,30代
C00015797,2000-08-15,女,25,20代
C00003176,1989-10-15,女,35,30代
C00007535,1989-11-19,女,35,30代
C00006416,2006-10-13,女,18,10代未満
C00000960,1991-03-16,女,34,30代
C00018517,1976-09-13,男,49,40代
C00000020,1973-09-12,男,52,50代
C00005705,1991-04-30,女,34,30代
C00015418,1979-05-17,男,46,40代
C00004688,2008-01-01,女,17,10代未満
C00012211,1985-03-31,女,40,40代
C00011853,1984-03-18,女,41,40代
C00017286,1981-02-11,女,44,40代
C00011095,1997-08-14,女,28,20代
C00013260,1978-03-09,その他・不明,47,40代
C00000497,1977-10-27,その他・不明,47,40代
C00018854,1992-04-29,女,33,30代
C00012614,1976-01-29,女,49,40代
C00013094,1998-03-13,女,27,20代
C00005745,1991-11-27,男,33,30代
C00003119,1994-07-17,女,31,30代
C00018454,1954-02-23,女,71,60代以上
C00011869,1996-06-05,女,29,20代
C00006118,1964-12-29,女,60,60代以上
C00008943,1979-10-02,男,45,40代
C00012686,1945-07-07,女,80,60代以上
C00000927,1960-03-20,女,65,60代以上
C00009403,1995-03-22,その他・不明,30,30代
C00016849,2004-02-08,男,21,20代
C00005813,2004-02-15,男,21,20代
C00006665,2004-01-10,男,21,20代
C00004301,2002-09-22,女,22,20代
C00003129,1989-08-19,女,36,30代
C00002077,2006-04-14,女,19,10代未満
C00014017,1976-09-26,女,48,40代
C00005523,2006-04-18,女,19,10代未満
C00015621,1966-06-25,女,59,50代
C00010260,1980-11-12,女,44,40代
C00004201,1987-05-01,女,38,30代
C00018781,1981-07-10,男,44,40代
C00004809,1981-08-17,女,44,40代
C00018338,1995-05-24,男,30,30代
C00015882,1968-05-30,女,57,50代
C00003652,1969-09-05,女,56,50代
C00013481,2008-05-14,女,17,10代未満
C00011267,2008-04-15,女,17,10代未満
C00005662,1990-01-27,女,35,30代
C00007850,1990-11-25,女,34,30代
C00007859,1985-06-12,女,40,40代
C00007297,1971-10-12,女,53,50代
C00008879,1984-06-09,女,41,40代
C00000007,1987-05-29,男,38,30代
C00013985,1977-05-09,男,48,40代
C00001781,1953-09-18,その他・不明,72,60代以上
C00017451,1987-07-19,女,38,30代
C00004337,1986-02-05,女,39,30代
C00005282,2001-05-10,その他・不明,24,20代
C00012893,1984-10-23,女,40,40代
C00015227,2000-10-12,女,24,20代
C00013132,1987-05-17,女,38,30代
C00001949,2001-02-07,女,24,20代
C00015903,1997-07-06,男,28,20代
C00000235,1985-03-16,女,40,40代
C00010843,1980-02-19,女,45,40代
C00018718,1946-02-28,男,79,60代以上
C00002198,1988-03-22,女,37,30代
C00000089,2001-08-02,女,24,20代
C00000300,1999-06-18,女,26,20代
C00008224,1985-07-10,男,40,40代
C00014119,1982-05-14,女,43,40代
C00015087,1997-11-10,女,27,20代
C00008086,1993-08-31,女,32,30代
C00017115,1990-05-23,男,35,30代
C00012733,1983-10-13,女,41,40代
C00008849,1999-09-19,女,25,20代
C00008430,1993-06-11,男,32,30代
C00011310,1987-07-27,その他・不明,38,30代
C00009704,1973-07-04,女,52,50代
C00004613,1974-09-12,男,51,50代
C00011095,1997-08-14,女,28,20代
C00001657,2005-12-13,女,19,10代未満
C00005678,1973-06-17,男,52,50代
C00015879,1989-06-28,その他・不明,36,30代
C00002184,1980-09-30,女,44,40代
C00018028,1988-06-29,女,37,30代
C00009109,1979-09-18,女,46,40代
C00005603,2002-04-15,女,23,20代
C00002343,1992-10-29,男,32,30代
C00017078,1975-08-01,男,50,50代
C00018266,1979-06-27,男,46,40代
C00008384,1977-01-16,女,48,40代
C00005289,1988-08-09,女,37,30代
C00006599,1994-01-24,女,31,30代
C00016436,1944-10-03,女,80,60代以上
C00014196,1994-03-24,女,31,30代
C00010188,1992-01-04,女,33,30代
C00002284,1984-09-13,女,41,40代
C00009233,1991-02-03,男,34,30代
C00015903,1997-07-06,男,28,20代
C00008852,1982-03-23,女,43,40代
C00010015,1992-11-10,男,32,30代
C00013439,1994-05-14,女,31,30代
C00010593,1980-08-19,男,45,40代
C00011389,1983-05-01,女,42,40代
C00002995,1978-02-10,女,47,40代
C00004372,1991-07-10,その他・不明,34,30代
C00007449,1989-04-29,女,36,30代
C00009720,1983-12-25,女,41,40代
C00010374,1992-06-07,女,33,30代
C00005158,1963-07-28,女,62,60代以上
C00007656,1998-04-17,女,27,20代
C00003367,1993-03-18,男,32,30代
C00007851,1990-05-20,男,35,30代
C00000786,1994-02-06,女,31,30代
C00000674,2001-08-19,男,24,20代
C00001599,1964-07-27,女,61,60代以上
C00006964,1989-05-03,女,36,30代
C00010210,1997-05-15,男,28,20代
C00018699,2009-03-15,女,16,10代未満
C00003048,1991-03-23,女,34,30代
C00010451,1974-01-06,男,51,50代
C00004336,1991-03-11,女,34,30代
C00017935,1991-10-10,女,33,30代
C00012510,2001-03-27,男,24,20代
C00013146,1946-11-12,女,78,60代以上
C00006652,2005-05-23,男,20,20代
C00011170,1991-12-02,男,33,30代
C00016695,1983-10-01,女,41,40代
C00014366,1994-10-02,男,30,30代
C00004508,1979-07-25,男,46,40代
C00017925,1993-08-06,女,32,30代
C00007443,2002-03-20,男,23,20代
C00001338,1999-01-15,女,26,20代
C00018933,1995-07-18,女,30,30代
C00000038,1991-05-12,男,34,30代
C00001254,1982-03-25,男,43,40代
C00016870,1997-02-05,女,28,20代
C00007158,1967-07-12,女,58,50代
C00004826,1989-10-01,女,35,30代
C00018583,1997-12-10,女,27,20代
C00012437,1985-07-15,男,40,40代
C00009510,1991-07-20,男,34,30代
C00009583,2006-04-02,男,19,10代未満
C00002804,1989-12-02,その他・不明,35,30代
C00006747,1957-07-02,女,68,60代以上
C00011687,2006-02-06,男,19,10代未満
C00016689,1995-12-25,男,29,20代
C00016840,1993-04-12,女,32,30代
C00015873,1998-08-26,女,27,20代
C00011070,1971-07-07,男,54,50代
C00007838,1982-09-04,男,43,40代
C00012490,1979-08-15,男,46,40代
C00006623,2000-11-30,男,24,20代
C00003060,1943-03-16,女,82,60代以上
C00010150,1985-03-26,女,40,40代
C00017415,1983-06-24,女,42,40代
C00010558,1996-09-15,女,29,20代
C00013841,1994-08-14,男,31,30代
C00004613,1974-09-12,男,51,50代
C00009163,1998-07-01,女,27,20代
C00004740,1980-11-23,女,44,40代
C00012138,1993-04-09,女,32,30代
C00012663,1998-02-17,女,27,20代
C00017577,1975-09-08,女,50,50代
C00015532,1995-04-18,女,30,30代
C00009510,1991-07-20,男,34,30代
C00001113,1999-04-25,女,26,20代
C00000222,2000-12-10,女,24,20代
C00008713,1975-08-13,女,50,50代
C00006001,2006-12-19,女,18,10代未満
C00008395,1981-11-25,男,43,40代
C00007193,1990-06-25,女,35,30代
C00007833,1992-01-20,女,33,30代
C00013936,1979-08-23,その他・不明,46,40代
C00011566,1987-12-27,女,37,30代
C00004938,1980-07-29,女,45,40代
C00015019,2006-07-22,女,19,10代未満
C00015558,2008-12-20,その他・不明,16,10代未満
C00004450,1993-09-06,男,32,30代
C00008581,1983-05-27,その他・不明,42,40代
C00017597,1989-01-11,男,36,30代
C00008172,2003-10-12,女,21,20代
C00001212,1998-06-05,女,27,20代
C00001919,1996-06-09,男,29,20代
C00011327,2000-02-17,男,25,20代
C00015282,1954-10-26,その他・不明,70,60代以上
C00011614,1989-05-30,男,36,30代
C00010260,1980-11-12,女,44,40代
C00014742,1999-06-05,女,26,20代
C00011650,1949-05-03,女,76,60代以上
C00008970,1983-10-20,女,41,40代
C00013838,1984-03-31,女,41,40代
C00008189,2002-12-11,男,22,20代
C00001943,1997-05-31,女,28,20代
C00002232,1985-09-11,女,40,40代
C00010575,1984-02-14,男,41,40代
C00012770,2010-05-24,女,15,10代未満
C00006520,2001-05-16,その他・不明,24,20代
C00005891,2003-10-09,男,21,20代
C00016579,1997-10-26,男,27,20代
C00000619,1942-06-19,男,83,60代以上
C00012195,1972-06-26,女,53,50代
C00015100,1993-06-05,女,32,30代
C00008414,1985-09-19,女,39,30代
C00007899,1985-11-01,女,39,30代
C00009861,1988-10-10,女,36,30代
C00004492,1985-10-21,女,39,30代
C00017129,1989-11-14,男,35,30代
C00008329,1980-03-22,女,45,40代
C00016548,2001-03-30,女,24,20代
C00005702,1973-12-11,女,51,50代
C00002766,1977-11-26,女,47,40代
C00003580,2010-09-16,女,15,10代未満
C00007475,1988-07-09,女,37,30代
C00016147,1949-01-22,女,76,60代以上
C00016618,1987-01-31,男,38,30代
C00011153,2003-04-29,男,22,20代
C00017786,1996-01-31,女,29,20代
C00007098,1990-01-30,男,35,30代
C00016389,2004-09-15,女,21,20代
C00011711,1997-07-21,女,28,20代
C00004740,1980-11-23,女,44,40代
C00016943,1998-04-26,男,27,20代
C00001496,2000-06-16,男,25,20代
C00008562,1982-04-03,女,43,40代
C00007938,1993-02-28,女,32,30代
C00018306,1973-12-21,男,51,50代
C00013586,1994-07-27,女,31,30代
C00009832,1979-04-08,その他・不明,46,40代
C00014491,1984-09-10,女,41,40代
C00013699,1993-08-02,女,32,30代
C00012331,2007-03-10,女,18,10代未満
C00002348,1992-05-27,女,33,30代
C00004428,1975-03-17,女,50,50代
C00004346,1997-08-20,男,28,20代
C00006633,1994-10-18,女,30,30代
C00013932,1982-01-12,男,43,40代
C00015365,1982-02-02,男,43,40代
C00007860,1998-07-21,男,27,20代
C00005112,2011-04-17,女,14,10代未満
C00005385,1994-02-19,男,31,30代
C00002994,1999-04-13,女,26,20代
C00013154,1987-05-02,男,38,30代
C00009590,1993-08-30,女,32,30代
C00004075,1989-04-29,女,36,30代
C00011639,1967-02-13,女,58,50代
C00017639,1990-08-19,男,35,30代
C00000329,1983-11-14,女,41,40代
C00002694,1998-12-17,男,26,20代
C00018657,1983-02-24,男,42,40代
C00008081,2002-06-15,女,23,20代
C00011814,2000-01-21,女,25,20代
C00006983,1992-05-14,男,33,30代
C00004888,1997-04-13,女,28,20代
C00004232,1985-12-19,女,39,30代
C00011674,1979-08-26,男,46,40代
C00010424,1979-01-15,女,46,40代
C00013110,1983-08-26,女,42,40代
C00006956,1988-05-03,男,37,30代
C00011211,1987-11-24,男,37,30代
C00003274,1997-01-19,女,28,20代
C00002423,1995-05-13,女,30,30代
C00018866,2000-10-01,女,24,20代
C00000173,1985-07-26,女,40,40代
C00009478,2000-11-26,女,24,20代
C00003947,1990-01-28,女,35,30代
C00000192,1991-08-02,男,34,30代
C00001293,2008-01-21,男,17,10代未満
C00003051,1991-03-02,女,34,30代
C00007051,2008-11-26,女,16,10代未満
C00004539,2001-01-12,男,24,20代
C00003659,1982-06-23,女,43,40代
C00008349,1981-03-25,女,44,40代
C00007025,1995-02-13,男,30,30代
C00005416,1979-01-22,女,46,40代
C00002812,2009-04-24,女,16,10代未満
C00009437,1987-05-19,男,38,30代
C00000663,1989-09-21,女,35,30代
C00017381,2002-07-04,女,23,20代
C00013007,2004-08-29,女,21,20代
C00016645,1979-04-26,女,46,40代
C00003771,1984-04-28,女,41,40代
C00002986,2011-04-21,女,14,10代未満
C00016759,1983-09-21,男,41,40代
C00007354,1980-07-25,女,45,40代
C00005448,1986-05-20,女,39,30代
C00007946,2007-01-14,女,18,10代未満
C00001416,1984-11-14,女,40,40代
C00012302,1986-09-21,その他・不明,38,30代
C00005374,2005-01-21,女,20,20代
C00008738,1976-07-30,男,49,40代
C00008463,1989-01-24,女,36,30代
C00006623,2000-11-30,男,24,20代
C00015421,1948-06-16,女,77,60代以上
C00010005,1989-12-05,女,35,30代
C00004740,1980-11-23,女,44,40代
C00009946,1999-11-21,男,25,20代
C00007446,1975-07-15,女,50,50代
C00001804,1973-03-07,女,52,50代
C00006214,1999-05-23,女,26,20代
C00001971,1981-11-17,女,43,40代
C00017196,1976-12-01,女,48,40代
C00015845,1984-11-09,男,40,40代
C00003814,1988-02-06,その他・不明,37,30代
C00002168,1997-01-27,女,28,20代
C00010169,1985-02-21,女,40,40代
C00013047,1989-04-13,女,36,30代
C00016736,1988-07-12,女,37,30代
C00012185,1975-08-23,女,50,50代
C00016201,1996-03-09,女,29,20代
C00010533,1989-08-03,女,36,30代
C00017364,1994-03-08,男,31,30代
C00001329,1965-01-01,女,60,60代以上
C00004050,2005-04-25,男,20,20代
C00017687,1980-10-30,女,44,40代
C00001917,1974-07-07,男,51,50代
C00007786,1950-05-29,女,75,60代以上
C00015900,1983-08-28,女,42,40代
C00004446,1978-12-12,女,46,40代
C00017280,2005-09-11,男,20,20代
C00012684,1989-10-01,男,35,30代
C00004439,1984-05-01,女,41,40代
C00003631,1985-01-30,女,40,40代
C00018703,1987-10-06,男,37,30代
C00018982,1976-10-02,男,48,40代
C00003650,1966-08-20,男,59,50代
C00015594,2002-06-19,その他・不明,23,20代
C00008684,2002-10-09,女,22,20代
C00012266,1995-02-04,男,30,30代
C00016548,2001-03-30,女,24,20代
C00016352,1979-11-12,女,45,40代
C00004085,1982-12-29,男,42,40代
C00005711,2008-01-17,女,17,10代未満
C00004631,1982-03-09,女,43,40代
C00006601,2000-11-15,女,24,20代
C00016086,2002-02-23,女,23,20代
C00002585,2006-05-25,女,19,10代未満
C00008491,1990-10-06,女,34,30代
C00002377,1990-08-29,男,35,30代
C00006214,1999-05-23,女,26,20代
C00012131,2001-04-21,女,24,20代
C00018296,1992-06-30,その他・不明,33,30代
C00007235,2001-04-17,男,24,20代
C00000773,2002-12-02,女,22,20代
C00010135,2009-04-28,女,16,10代未満
C00002033,1984-01-13,女,41,40代
C00015397,2002-08-08,女,23,20代
C00008177,1951-06-05,男,74,60代以上
C00018931,2003-01-19,女,22,20代
C00013201,1989-04-28,女,36,30代
C00006035,1948-09-09,その他・不明,77,60代以上
